Recieve Wallet,TGE (20%),Vesting,Total (HE)
0x856786EeA84c39282e8F68B6Bf2b82478ab126cA,"4,000,000","16,000,000","20,000,000"
0x94C840ff0DB97bCbD4058AbeD14Ba3721831b622,"2,000,000","8,000,000","10,000,000"
0x7117F13c6048cCca52fC540A5a244a5CA28FC9c2,"5,000,000","20,000,000","25,000,000"
0x7d6645fEBA93d57d817763350b33C19d9C2ced3C,"4,000,000","16,000,000","20,000,000"
0xcEd29BA48490C51E4348e654C313AC97762beCCC,"1,200,000","4,800,000","6,000,000"
0x87Af77cB36F03f44EBF47aaaB3ab1241b68fB7eA,"600,000","2,400,000","3,000,000"
0x4a5BB1c9347A0d4F7e06a29239162f03647d9232,"400,000","1,600,000","2,000,000"
0xd8190FD3E70A76a2222E692eba259b77ca903594,"400,000","1,600,000","2,000,000"
0x5ba7614B0b5E901A762AF4c03C6a33D85D7B35DD,"400,000","1,600,000","2,000,000"
0x529C9428572fFd389b031f7bd5bdC44b3F471D8e,"300,000","1,200,000","1,500,000"
0xb9b9926DFb2C021FcD8F2366961186A2760716E3,"300,000","1,200,000","1,500,000"
0xce0d229d6dd09c2c92947294884cb9596bf42735,"300,000","1,200,000","1,500,000"
0x01204297dB860f097C2902Be6D6aC3e654B89c66,"200,000","800,000","1,000,000"
0x729a9d234E2eAbB0bA5cC7Fb0FAd30EFad5D2694,"200,000","800,000","1,000,000"
0x5425dE1A8A51B3bF428f9740C6C1BD0e179aF4f0,"100,000","400,000","500,000"
0x71334D8E5179831aDF90Ed06BAF08Bf27fb97F13,"60,000","240,000","300,000"
0x58C4b674E22576E895a59E2bEC960B51491a140E,"40,000","160,000","200,000"
0xbF5973e9Ade4EDE093D1b2F660836F223850d7F3,"40,000","160,000","200,000"
0x8ce138180F4e688dD081333207B7E94d7963898b,"50,000","200,000","250,000"
0x6a104D55eBC2CEA43E1688e7b75881FE81E0Ff34,"50,000","200,000","250,000"
0x49Dbf3CB9a5e8cd64444a1d0dFADBcb7cb3f65d7,"50,000","200,000","250,000"
0xd0c9fECc2902A23370fC3b412AFF82f4d64F0D55,"50,000","200,000","250,000"
0xfa4937670686c09f180c71a9b93e2ffcc3a79f47,"70,000","280,000","350,000"
0xa75F9C8246f7269279bE4c969e7Bc6Eb619cC204,"10,000","40,000","50,000"
0x899754fEE6E815276aE0A5D47CDFCee68f3da862,"88,000","352,000","440,000"
0xd999074F947f9813bDD161Fb2452332ac6a4D695,"132,000","528,000","660,000"
0x1F1356Ff901845f4A57f87cEDA516825b4F251f3,"100,000","400,000","500,000"
0x572a75a82c7eBAd2C92dD7617740dFdaF420e518,"100,000","400,000","500,000"
0x8E79c736De9c10c4b9909077560DcD2F78b0B969,"80,000","320,000","400,000"
0xaF23aE2F72331AFFB8EBeBB1a5a8DD68335Ce538,"50,000","200,000","250,000"
0x8c902B8839010BB1761201d42f788e7eD9FCFD77,"50,000","200,000","250,000"
